iter	RMSE
0	174.5755539
1	168.5067783
2	162.8215686
3	157.6929724
4	152.0866974
5	147.1486663
6	142.7083908
7	138.2432589
8	134.5994879
9	130.89115
10	127.2578048
11	124.0780068
12	121.3434904
13	118.5293431
14	115.9261899
15	113.4727771
16	111.2999749
17	109.386007
18	107.3570777
19	105.5419868
20	103.9724025
21	102.3089551
22	100.9048057
23	99.65451862
24	98.37363802
25	97.27890032
26	96.24554088
27	95.25348655
28	94.39489556
29	93.44345591
30	92.75069085
31	91.99159018
32	91.24893085
33	90.73438727
34	90.14106814
35	89.57173416
36	89.03891245
37	88.62416956
38	88.19355915
39	87.78332057
40	87.36175978
41	86.99595397
42	86.56741546
43	86.19491001
44	85.82537575
45	85.53325494
46	85.23744875
47	84.96985798
48	84.6764945
49	84.45099402
50	84.22494397
51	84.00690944
52	83.76941466
53	83.6129818
54	83.40499391
55	83.16155139
56	82.96472968
57	82.74561037
58	82.55289475
59	82.46701764
60	82.29851603
61	82.12228407
62	81.98555388
63	81.8549713
64	81.69793219
65	81.57151649
66	81.42353185
