iter	Passed	Remaining
0	3	205
1	6	208
2	10	226
3	14	227
4	16	209
5	20	209
6	25	217
7	27	203
8	30	194
9	34	199
10	38	194
11	40	186
12	43	179
13	45	171
14	47	164
15	51	163
16	57	167
17	68	185
18	74	188
19	119	281
20	123	269
21	127	260
22	134	257
23	137	245
24	140	235
25	143	226
26	145	216
27	148	206
28	151	197
29	154	190
30	156	181
31	159	174
32	162	167
33	166	161
34	169	154
35	173	149
36	175	142
37	179	137
38	182	130
39	185	125
40	188	119
41	192	114
42	194	108
43	197	103
44	201	98
45	204	93
46	206	87
47	209	82
48	211	77
49	214	72
50	218	68
51	222	64
52	225	59
53	228	54
54	231	50
55	237	46
56	241	42
57	243	37
58	246	33
59	249	29
60	252	24
61	255	20
62	258	16
63	264	12
64	266	8
65	271	4
66	274	0
